Hex,Emoji,English Name,Myanmar Name,Keywords
1FAE0,🫠,melting face,အရည်ပျော်နေသောမျက်နှာ,"ပျောက်ကွယ်, ပျော်ကျ, ပျော်ဝင်, အရည်, အရည်ပျော်ကျနေသည့် မျက်နှာ, ပျော်, ပူ, ရှက်, အားနာ"
1F609,😉,winking face,မျက်စိတစ်ဖက်မှိတ်ပြုံးနေသောမျက်နှာ,"မျက်စိမှိတ်ပြခြင်း, မျက်စိမှိတ်ပြနေသည့် မျက်နှာ, မျက်နှာ, မျက်စိမှိတ်, ပြုံး, နောက်"
1F60A,😊,smiling face with smiling eyes,မျက်လုံးလေးမှေးပြီး ရှက်ပြုံးပြုံးနေသောမျက်နှာ,"ပြုံးနေသည်, ပြုံးနေသည့်မျက်လုံးများဖြင့် အပြုံးမျက်နှာ, မျက်စိ, မျက်နှာ, မျက်လုံး, မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ, ရှက်သွေးဖြန်းခြင်း, ပြုံး, ပျော်, ရှက်, ကြည်နူး"
1F607,😇,smiling face with halo,ကောင်းကင်တမန်မျက်နှာ,"စိတ်ကူးယဉ်, နတ်မိမယ်, မျက်နှာ, ရောင်လျှံစက်ဝန်း, ရောင်လျှံစက်ဝန်းနှင့် မျက်နှာ, ကောင်းကင်တမန်, အပြစ်ကင်း, ရိုးသား, ဘုရား"
1F970,🥰,smiling face with hearts,နှလုံးသားလေးများဖြင့် ဝန်းရံနေသောမျက်နှာ,"တန်းတန်းစွဲ, နှလုံး, မြတ်နိုးသည်, မေတ္တာရှိသည်, အသည်းပုံ ၃ ခုနှင့် အပြုံးမျက်နှာ, ချစ်, အချစ်, ပျော်, ကြည်နူး"
1F60D,😍,smiling face with heart-eyes,နှလုံးသားမျက်လုံးဖြင့် ပြုံးနေသောမျက်နှာ,"နှလုံးပုံစံ မျက်လုံးများနှင့် အပြုံးမျက်နှာ, မျက်နှာ, မျက်လုံး, အချစ်, အပြုံး, ချစ်, ကြိုက်, လှ, နှစ်သက်"
1F929,🤩,star-struck,မျက်လုံးထဲတွင် ကြယ်ပါသောမျက်နှာ,"ကြယ်ပွင့်, ကြယ်ပွင့်မျက်လုံးများဖြင့် မျက်နှာ, ကြယ်ပွင့်လေးနဲ့ မျက်နှာ, စိတ်လှုပ်ရှား, ပြုံး, ပြုံးဖြဲဖြဲ, မျက်နှာ, မျက်လုံးများ, ဝိုး, မိုက်, အံ့ဩ, ကြိုက်, လန်း"
1F618,😘,face blowing a kiss,အနမ်းပေးနေသောမျက်နှာ,"မျက်နှာ, အနမ်း, အနမ်းကို ပို့ပေးနေသည့် မျက်နှာ, နမ်း, ချစ်, အချစ်, အသည်း"
1F617,😗,kissing face,နှုတ်ခမ်းစူနေသောမျက်နှာ,"နမ်းနေသည့် မျက်နှာ, မျက်နှာ, အနမ်း, နမ်း, စူ"
263A-FE0F,☺️,smiling face,ပြုံးနေသောမျက်နှာ,"ပြုံး, ပျော်, ကျေးဇူးတင်"
1F61A,😚,kissing face with closed eyes,မျက်လုံးမှိတ်ပြီး နမ်းနေသောမျက်နှာ,"မျက်စိ, မျက်စိမှိတ်ထားကာ နမ်းနေသည့် မျက်နှာ, မျက်နှာ, အနမ်း, နမ်း, ချစ်"
1F619,😙,kissing face with smiling eyes,ပြုံးပြီး နမ်းနေသောမျက်နှာ,"မျက်စိ, မျက်နှာ, အနမ်း, အပြုံး, အပြုံးမျက်လုံးများနှင့် နမ်းနေသည့် မျက်နှာ, နမ်း, ချစ်"
1F972,🥲,smiling face with tear,မျက်ရည်ဝိုင်းပြီး ပြုံးနေသောမျက်နှာ,"ကျေးဇူးတင်သော, ဂုဏ်ယူသော, စိတ်ထိခိုက်, စိတ်သက်သာ, မျက်ရည်, အငိုမျက်လုံး အပြုံးမျက်နှာ, အပြုံး, ဝမ်းနည်း, ပျော်, ကြည်နူး"
1F60B,😋,face savoring food,လျှာလေးသပ်ပြီး မြိန်ယှက်နေသောမျက်နှာ,"ဆာလောင်သည်, တစိမ့်စိမ့် အစားအရသာခံခြင်း, မျက်နှာ, အစားအရသာခံနေသည့် မျက်နှာ, အစားအရသာခံနေသည့်မျက်နှာ, အစားအသောက်, အပြုံး, အရသာရှိခြင်း, စား, ကောင်း, မြိန်, စားချင်"
1F61B,😛,face with tongue,လျှာထုတ်နေသောမျက်နှာ,"မျက်နှာ, လျှာ, လျှာထုတ်ထားသည့် မျက်နှာ, လျှာထုတ်, နောက်, ပြောင်"
1F61C,😜,winking face with tongue,မျက်စိတစ်ဖက်မှိတ်ပြီး လျှာထုတ်နေသောမျက်နှာ,"ပြက်လုံး, ပါတီ, မျက်စပစ်, မျက်နှာ, မျက်လုံး, လျှာ, လျှာထုတ်ထားပြီး မျက်လုံးတစ်ဖက် မှိတ်ပြသည့် မျက်နှာ, ဟာသ, နောက်, ပြောင်, လျှာထုတ်"
1F92A,🤪,zany face,မျက်လုံးစွေပြီး လျှာထုတ်နေသောမျက်နှာ,"ပြောင်ချော်ချော်လုပ်ခြင်း, မျက်စိ, မျက်နှာ, မျက်လုံး, ရူးနှမ်းနှမ်း မျက်နှာ, ရူး, နောက်, ပြောင်, ကြောင်"
1F61D,😝,squinting face with tongue,မျက်လုံးမှိတ်ပြီး လျှာထုတ်နေသောမျက်နှာ,"ဆိုးရွား, မျက်နှာ, မျက်လုံး, မျက်လုံးများပိတ်ပြီး လျှာထုတ်ပြသည့် မျက်နှာ, လျှာ, နောက်, ပြောင်, လျှာထုတ်"
1F911,🤑,money-mouth face,ပိုက်ဆံမျက်လုံးနှင့်မျက်နှာ,"ငွေ, ငွေပါးစပ်, ငွေရှင်းပြီး, ပါးစပ်, မျက်နှာ, ပိုက်ဆံ, ချမ်းသာ, လောဘ"
1F917,🤗,smiling face with open hands,ပွေ့ဖက်နေသောမျက်နှာ,"ပြုံးနေသည်, ပွေ့ဖက်ခြင်း, ပွေ့ဖက်နေသည်, မျက်နှာ, လက်, ဖက်, ပွေ့ဖက်, ချစ်, ခင်"
1F92D,🤭,face with hand over mouth,လက်ဖြင့် ပါးစပ်ပိတ်ပြီး ရယ်နေသောမျက်နှာ,"စဥ်းစားရကြပ်သည်, ပါးစပ်ကို လက်နဲ့ပိတ်တဲ့ မျက်နှာ, ရယ်, ရှက်, အံ့ဩ"
1FAE2,🫢,face with open eyes and hand over mouth,မျက်လုံးဝိုင်းပြီး လက်ဖြင့်ပါးစပ်ပိတ်ထားသောမျက်နှာ,"ကြောက်ရွံ့, မယုံကြည်, မျက်လုံးဖွင့်ထားပြီး ပါးစပ်ကို လက်နှင့်ကာထားပုံ, အရှက်ရ, အံ့အားသင့်, အံ့ဩ, ထိတ်လန့်, မယုံ"
1FAE3,🫣,face with peeking eye,မျက်လုံးတစ်ဖက်ကို လက်ဖြင့်ကာပြီး ကြည့်နေသောမျက်နှာ,"ချောင်းကြည့်, ချောင်းကြည့်နေသည့် မျက်နှာ, စိုက်ကြည့်, မျက်နှာမလွှဲနိုင်, ရှက်, ကြောက်"
1F92B,🤫,shushing face,တိတ်တိတ်နေရန် အချက်ပြသောမျက်နှာ,"တိတ်တိတ်နေခိုင်းနေသည့် မျက်နှာ, တိတ်တိတ်နေပါ, ရှုးတိုးတိုးရုပ်နဲ့ မျက်နှာ, ရှူးတိုးတိုး, တိတ်တိတ်, ငြိမ်, လျှို့ဝှက်"
1F914,🤔,thinking face,စဉ်းစားနေသောမျက်နှာ,"စဉ်းစားနေပုံ, စဉ်းစားနေပုံမျက်နှာ, စဥ်းစားနေပုံ မျက်နှာ, မျက်နှာ, စဉ်းစား, တွေး, ဘာလဲ"
1FAE1,🫡,saluting face,အလေးပြုနေသောမျက်နှာ,"[ok], [yes], စစ်သား, နေပူ, အလေးပြု, အလေးပြုနေသည့် မျက်နှာ, လေးစား"
1F910,🤐,zipper-mouth face,ပါးစပ်ကို ဇစ်ပိတ်ထားသောမျက်နှာ,"စကားမပြောဘဲ ပါးစပ်ပိတ်ထားသည့် မျက်နှာ, ပါးစပ်, ပါးစပ်ပိတ်, မျက်နှာ, တိတ်တိတ်, မပြော, လျှို့ဝှက်"
1F928,🤨,face with raised eyebrow,မျက်ခုံးပင့်ပြီး သံသယဖြင့်ကြည့်နေသောမျက်နှာ,"မျက်ခုံးတွန့် မျက်နှာ, သံသယမကင်းတဲ့ မျက်နှာ, သံသယ, ဘာလဲ, ဟုတ်လို့လား"
1F610,😐,neutral face,ဘာမှမပြောချင်သော မျက်နှာ,"ဘက်မလိုက်, မျက်နှာ, မျက်နှာသေ, ဘာမှမပြော, ငြိမ်, စိတ်ပျက်"
1F611,😑,expressionless face,မျက်လုံးလေးမှေးပြီး ကြည့်နေသောမျက်နှာ,"ခံစားမှုမဲ့ မျက်နှာ, မျက်နှာ, အသက်မပါ, ကြည့်, စိတ်ပျက်, ငြီးငွေ့"
1F636,😶,face without mouth,ပါးစပ်မပါသောမျက်နှာ,"ငြိမ်သက်ခြင်း, တိတ်ဆိတ်ခြင်း, ပါးစပ်, ပါးစပ်မပါသော မျက်နှာ, မျက်နှာ, ဘာမှမပြော, ငြိမ်, စိတ်ပျက်"
1FAE5,🫥,dotted line face,အစက်အပြောက်များဖြင့်မျက်နှာ,"စိတ်ဓာတ်ကျ, တစ်ကိုယ်တော်သမား, ပျောက်ကွယ်ခြင်း, ပုန်းကွယ်, မမြင်ရခြင်း, အစက်ချဆွဲထားသည့် မျက်နှာ, ပျောက်ကွယ်, အထီးကျန်, ဝမ်းနည်း"
1F636-200D-1F32B-FE0F,😶‍🌫️,face in clouds,တိမ်ထဲတွင်မျက်နှာ,"စိတ်ညစ်, ဝေဝါး, လျှို့ဝှက်"
1F60F,😏,smirking face,ခပ်ချေချေပြုံးနေသောမျက်နှာ,"မျက်နှာ, လှောင်ပြုံးမျက်နှာ, လှောင်ပြောင်, ချေ, မိုက်, နောက်"
1F612,😒,unamused face,မကျေမနပ်ဖြစ်နေသောမျက်နှာ,"စိတ်အလိုမကျ, စိတ်အလိုမကျသည့် မျက်နှာ, မပျော်ရွှင်, မျက်နှာ, မကျေနပ်, စိတ်ပျက်, ငြီးငွေ့"
1F644,🙄,face with rolling eyes,မျက်လုံးလှန်ကြည့်နေသောမျက်နှာ,"စိတ်မရှည်သည့်ဟန်ပြ မျက်လုံးများ, ပျင်းစရာကောင်းသောအကြောင်းအရာကြောင့် ဖြစ်ပေါ်လာသောမျက်နှာ, မျက်နှာ, မျက်လုံး, စိတ်ပျက်, ငြီးငွေ့, အပိုတွေ"
1F62C,😬,grimacing face,သွားဖြဲနေသောမျက်နှာ,"မျက်နှာ, မျက်နှာရှုံ့ခြင်း, ရှုံ့မဲ့နေသော မျက်နှာ, ကြောက်, ရှက်, အားနာ"
1F62E-200D-1F4A8,😮‍💨,face exhaling,သက်ပြင်းချနေသောမျက်နှာ,"ညည်းခြင်း, တီးတိုးပြောခြင်း, ပင့်သက်ရှိုက်ခြင်း, မျက်နှာ, မီးခိုး, ရှူထုတ်ခြင်း, လေချွန်ခြင်း, သက်ပြင်းချ မျက်နှာ, ဟင်းချခြင်း, သက်ပြင်း, ပင်ပန်း, စိတ်ညစ်"
1F925,🤥,lying face,နှာခေါင်းရှည်နေသောမျက်နှာ,"ရုပ်, လိမ်လည်, လူလိမ်ရုပ်, လိမ်, မဟုတ်တာပြော"
1FAE8,🫨,shaking face,တုန်ခါနေသောမျက်နှာ,"ခါယမ်း, ငလျင်, တွေဝေခြင်း, မျက်နှာ, ရူးသွပ်, ဝိုး, အထိတ်တလန့်, အံ့အားသင့်, တုန်, ကြောက်, အံ့ဩ"
1F642-200D-2194-FE0F,🙂‍↔️,head shaking horizontally,ခေါင်းခါခြင်း,"မဟုတ်, မလုပ်, ငြင်း"
1F642-200D-2195-FE0F,🙂‍↕️,head shaking vertically,ခေါင်းညိတ်ခြင်း,"အင်း, ဟုတ်, သဘောတူ"
1F60C,😌,relieved face,စိတ်အေးလက်အေးဖြစ်နေသောမျက်နှာ,"စိတ်သက်သာရာရ, စိတ်သက်သာရာရသည့် မျက်နှာ, မျက်နှာ, အေးဆေး, ကျေနပ်, ငြိမ်းချမ်း"
1F614,😔,pensive face,ဝမ်းနည်းနေသောမျက်နှာ,"ငိုင်တိုင်တိုင်, စဉ်းစား, စဉ်းစားငိုင်တွေသည့် မျက်နှာ, မျက်နှာ, ဝမ်းနည်း, စိတ်မကောင်း, အားငယ်"
1F62A,😪,sleepy face,အိပ်ငိုက်နေသောမျက်နှာ,"မျက်နှာ, အိပ်ငိုက်, အိပ်ငိုက်သည့်မျက်နှာ, ပင်ပန်း, သမ်း"
1F924,🤤,drooling face,သွားရည်ကျနေသောမျက်နှာ,"ရုပ်, သွားရည်ကျ, သွားရည်ကျနေသည့်ရုပ်, စားချင်, ကြိုက်, အီ"
1F634,😴,sleeping face,အိပ်ပျော်နေသောမျက်နှာ,"မျက်နှာ, ဟောက်သံ, အိပ်, အိပ်နေသည့်မျက်နှာ, အိပ်ပျော်, ပင်ပန်း"
1FAE9,🫩,face with bags under eyes,အောက်မျက်ခွံ မို့နေသော မျက်နှာ,"ပင်ပန်း, အားကုန်နေသော, အိပ်ချင်, အောက်မျက်ခွံ မို့နေသော မျက်နှာ"
1F637,😷,face with medical mask,နှာခေါင်းစည်းတပ်ထားသောမျက်နှာ,"ကျန်းမာရေး မျက်နှာဖုံးနှင့် မျက်နှာ, ဆရာဝန်, ဆေးရုံသုံးမျက်နှာဖုံးတပ် မျက်နှာ, ဖျားနာခြင်း, မျက်နှာ, မျက်နှာဖုံး, အအေးမိခြင်း, နှာခေါင်းစည်း, ဖျား, နေမကောင်း, Mask"
1F912,🤒,face with thermometer,အဖျားတိုင်းနေသောမျက်နှာ,"ပြဒါးတိုင်, ပြဒါးတိုင်နှင့် မျက်နှာ, ဖျားနာခြင်း, မျက်နှာ, သာမိုမီတာနှင့် မျက်နှာ, ဖျား, နေမကောင်း, ဖျားနာ"
1F915,🤕,face with head-bandage,ခေါင်းစီးထားသောမျက်နှာ,"ထိခိုက်ခြင်း, နာကျင်ခြင်း, ပတ်တီး, ပတ်တီးနှင့် မျက်နှာ, မျက်နှာ, ဦးခေါင်းပတ်တီးနှင့် မျက်နှာ, ဒဏ်ရာ, နာ, နေမကောင်း"
1F922,🤢,nauseated face,အော့အန်ချင်နေသောမျက်နှာ,"ရုပ်, အန်သည်, အောက်ဂလီဆန်သည်, အော်ဂလီဆန်သည့်ရုပ်, အန်, နေမကောင်း, ရွံ"
1F92E,🤮,face vomiting,အန်နေသောမျက်နှာ,"ဖျားနာခြင်း, အန်ထွက်သည့် မျက်နှာ, အန်နေသည့် မျက်နှာ, အန်သည်, အန်, ရွံ, နေမကောင်း"
1F927,🤧,sneezing face,နှာချေနေသောမျက်နှာ,"ဆိတ်ဖွား, နှာချေသည်, နှာချေသည့်ရုပ်, ရုပ်, နှာချေ, ဖျား, အအေးမိ"
1F975,🥵,hot face,ပူလောင်နေသောမျက်နှာ,"ဇောချွေးပြန်နေသော, ဒေါသ မျက်နှာ, ပူသည်, ရှက်သွေးဖြန်း မျက်နှာ, အပူလျှပ်ခြင်း, အဖျားတက်ခြင်း, ပူ, နွေရာသီ, ချွေးထွက်"
1F976,🥶,cold face,အေးခဲနေသောမျက်နှာ,"နှင်းကိုက်နာ, ပြာနှမ်းနေသော မျက်နှာ, ရေခဲ မျက်နှာ, ရေခဲပန်းဆွဲ, အေးခြင်း, အေးခဲခြင်း, အေး, ဆောင်းရာသီ, တုန်"
1F974,🥴,woozy face,မူးဝေနေသောမျက်နှာ,"ကတုန်ကယင် မျက်နှာ, ထွေနေသော, ပါးစပ်ရွဲ့ခြင်း, မူးဝေခြင်း, ရွဲနေသော မျက်လုံး, အရက်မူးခြင်း, မူး, အရက်, ရီဝေ"
1F635,😵,face with crossed-out eyes,မူးဝေနေသော မျက်နှာ,"မျက်နှာ, မူးဝေနေသော မျက်နှာ, သတိလစ် မျက်နှာ, သေဆုံးခြင်း"
1F635-200D-1F4AB,😵‍💫,face with spiral eyes,ချာလပတ်လည်နေသည့်မျက်လုံးနှင့် မျက်နှာ,"ချာလပတ်လည်ခြင်း, ချာလပတ်လည်နေသည့်မျက်လုံးနှင့် မျက်နှာ, ဒုက္ခ, မျက်လုံး, မူးဝေသော, အိပ်မွေ့ချခြင်း"
1F92F,🤯,exploding head,ဒေါသပေါက်ကွဲခေါင်း,"စိတ်, စိတ်မထိန်းနိုင်ခြင်း, ထိတ်လန့်ခြင်း, ဒေါသပေါက်ကွဲခေါင်း, ဒေါသပေါက်ကွဲသည့် ဦးခေါင်း, ဦးခေါင်း"
1F920,🤠,cowboy hat face,နွားကျောင်းသား ဦးထုပ် ဆောင်းထားသည့်ရုပ်,"နွားကျောင်းသမ, နွားကျောင်းသား, နွားကျောင်းသား ဦးထုပ် ဆောင်းထားသည့်ရုပ်, မျက်နှာ, ဦးထုတ်"
1F973,🥳,partying face,ပါတီပွဲနွှဲနေသောမျက်နှာ,"ပါတီ, ပါတီပွဲတက် မျက်နှာ, အောင်ပွဲခံခြင်း, ဦးချို, ဦးထုပ်, ပွဲ, ပျော်, မွေးနေ့"
1F978,🥸,disguised face,ဟန်ဆောင်မျက်နှာ,"နှာခေါင်း, မျက်နှာ, မျက်မှန်, ရုပ်ဖျက်ခြင်း, ရုပ်ဖျက်ထားသော မျက်နှာ, ဟန်ဆောင်မျက်နှာ"
1F60E,😎,smiling face with sunglasses,နေကာမျက်မှန်ဖြင့် ပြုံးနေသောမျက်နှာ,"တောက်ပခြင်း, နေ, နေကာမျက်မှန်ဖြင့် အပြုံးမျက်နှာ, မျက်နှာ, မိုက်, စတိုင်, မျက်မှန်, နေကာ"
1F913,🤓,nerd face,တစ်စုံတစ်ရာကို ရူးသွပ်သူ၏ မျက်နှာ,"တစ်စုံတစ်ရာကို ရူးသွပ်သူ၏ မျက်နှာ, ပညာရှင်, မျက်နှာ, ရူးသွပ်သူ"
1F9D0,🧐,face with monocle,တစ်ဖက်တည်းပါတဲ့ မျက်မှန်နှင့် မျက်နှာ,"တစ်ဖက်တည်းပါတဲ့ မျက်မှန်နှင့် မျက်နှာ, လှောင်နေသည့် မျက်နှာ"
1F615,😕,confused face,ဇဝေဇဝါဖြစ်သည့် မျက်နှာ,"ဇဝေဇဝါဖြစ်, ဇဝေဇဝါဖြစ်သည့် မျက်နှာ, မျက်နှာ"
1FAE4,🫤,face with diagonal mouth,ပါးစပ် မဲ့ထားသည့် မျက်နှာ,"စိတ်ပျက်လက်ပျက်, ပါးစပ် မဲ့ထားသည့် မျက်နှာ, မယုံကြည်, မသေချာ"
1F61F,😟,worried face,စိတ်ပူနေသော မျက်နှာ,"စိတ်ပူနေသော မျက်နှာ, ပူပန်နေသည့် မျက်နှာ, မျက်နှာ"
1F641,🙁,slightly frowning face,အနည်းငယ် မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ,"မျက်နှာ, ဝမ်းနည်း, အနည်းငယ် မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ, အနည်းငယ်ဝမ်းနည်းသည့် မျက်နှာ"
2639-FE0F,☹️,frowning face,,
1F62E,😮,face with open mouth,ပါးစပ်အဟောင်းသားနှင့် မျက်နှာ,"ပါးစပ်, ပါးစပ်အဟောင်းသားနှင့် မျက်နှာ, မျက်နှာ, သနား"
1F62F,😯,hushed face,အံ့ဩသည့်မျက်နှာ,"မျက်နှာ, မှင်သက်, အံ့ဩခြင်း, အံ့ဩသည့် မျက်နှာ, အံ့ဩသည့်မျက်နှာ"
1F632,😲,astonished face,အံ့အားသင့်နေသော မျက်နှာ,"ကြက်သေသေ, မျက်နှာ, လုံးဝ, အံ့အားသင့်ခြင်း, အံ့အားသင့်နေသော မျက်နှာ"
1F633,😳,flushed face,အားမာန်ပြည့်နေသော မျက်နှာ,"မျက်နှာ, အားမာန်, အားမာန်ပြည့်နေသော မျက်နှာ, အားမာန်အပြည့်နှင့် မျက်နှာ"
1F97A,🥺,pleading face,မျက်ရည်ဝိုင်းနေသောမျက်နှာ,"ခွေးပေါက်အသွင် ချစ်စဖွယ် မျက်လုံး, တောင်းပန်ခြင်း, တောင်းပန်သော မျက်နှာ, သက်ညှာခြင်း, ငို, ဝမ်းနည်း, သနား, တောင်းပန်"
1F979,🥹,face holding back tears,မျက်ရည်ထိန်းထားသည့် မျက်နှာ,"ဂုဏ်ယူ, ငိုယို, ဒေါသထွက်, မျက်ရည်ထိန်းထားသည့် မျက်နှာ, ဝမ်းနည်း"
1F626,😦,frowning face with open mouth,မျက်မှောင်ကြုတ် ပါးစပ်ဟထားသည့် မျက်နှာ,"ပါးစပ်, ပါးစပ်ဟပြီး မျက်မှောင်ကြုတ်ထားသော မျက်နှာ, မျက်နှာ, မျက်မှောင်ကြုတ်ခြင်း, မျက်မှောင်ကြုတ်နေကာ ပါးစပ်ဟထားသည့် မျက်နှာ, ဟနေသည်"
1F627,😧,anguished face,မချိတင်ကဲ မျက်နှာ,"မချိတင်ကဲ မျက်နှာ, မျက်နှာ"
1F628,😨,fearful face,စိုးရိမ်နေသော မျက်နှာ,"ကြောက်ရွံ့ခြင်း, ကြောက်ရွံ့တုန်လှုပ်ခြင်း, စိုးရိမ်နေသော မျက်နှာ, မျက်နှာ"
1F630,😰,anxious face with sweat,ပါးစပ်ဟနေကာ ဇောချွေးပြန်နေသော မျက်နှာ,"ကမန်းကတန်းလုပ်ခြင်း, ချွေး, စိုးရိမ်ပြီး ဇောချွေးပြန်နေသည့် မျက်နှာ, ပြာလောင်ခတ်ခြင်း, ပါးစပ်ဟနေကာ ဇောချွေးပြန်နေသော မျက်နှာ, မျက်နှာ, အပြာရောင်"
1F625,😥,sad but relieved face,ဝမ်းနည်းသော်လည်း စိတ်အေးရသည့် မျက်နှာ,"မျက်နှာ, ဝမ်းနည်း, ဝမ်းနည်းသော်လည်း စိတ်သက်သာရာရသည့် မျက်နှာ, ဝမ်းနည်းသော်လည်း စိတ်အေးရသည့် မျက်နှာ, အပူလုံးကျ"
1F622,😢,crying face,မျက်ရည်တစ်ပေါက်ကျနေသောမျက်နှာ,"ငိုနေခြင်း, ငိုနေသည့် မျက်နှာ, ငိုနေသော မျက်နှာ, မျက်နှာ, မျက်ရည်, ဝမ်းနည်းခြင်း, ငို, ဝမ်းနည်း"
1F62D,😭,loudly crying face,အော်ငိုနေသောမျက်နှာ,"ကျယ်လောင်စွာ ငိုနေသော မျက်နှာ, ကျယ်လောင်စွာငိုနေသည့် မျက်နှာ, ငိုနေခြင်း, မျက်နှာ, မျက်ရည်, ဝမ်းနည်းခြင်း, ငို, ဝမ်းနည်း, စိတ်မကောင်း"
1F631,😱,face screaming in fear,ကြောက်လန့်စွာ အော်နေသော မျက်နှာ,"ကြောက်ရွံ့ခြင်း, ကြောက်လန့်စွာ အော်နေသော မျက်နှာ, ကြောက်လန့်စွာအော်နေသည့် မျက်နှာ, ထိတ်လန့်ခြင်း, မျက်နှာ, အော်ဟစ်ခြင်း"
1F616,😖,confounded face,မွှန်ထူသွားသည့် မျက်နှာ,"မျက်နှာ, မွှန်ထူ, မွှန်ထူသွားသည့် မျက်နှာ"
1F623,😣,persevering face,အကူအညီမဲ့သည့် မျက်နှာ,"မျက်နှာ, အကူအညီမဲ့, အကူအညီမဲ့သည့် မျက်နှာ"
1F61E,😞,disappointed face,စိတ်ပျက်နေသော မျက်နှာ,"စိတ်ပျက်နေသည့် မျက်နှာ, စိတ်ပျက်နေသော မျက်နှာ, မျက်နှာ"
1F613,😓,downcast face with sweat,ချွေးစေးပြန်သည့်မျက်နှာ,"ချွေးစေးပြန်, ချွေးစေးပြန်သည့်မျက်နှာ, မျက်နှာ"
1F629,😩,weary face,ငြီးငွေ့နေသော မျက်နှာ,"ငြီးငွေ့နေသည့် မျက်နှာ, ငြီးငွေ့နေသော မျက်နှာ, ပင်ပန်းနေသည့် မျက်နှာ, မျက်နှာ"
1F62B,😫,tired face,ပင်ပန်းသည့်မျက်နှာ,"ပင်ပန်း, ပင်ပန်းသည့်မျက်နှာ, မျက်နှာ"
1F971,🥱,yawning face,သန်းဝေနေသည့် မျက်နှာ,"ငြီးငွေ့သည်, ပင်ပန်းသည်, သန်းဝေနေသည့် မျက်နှာ, သန်းဝေသည်"
1F624,😤,face with steam from nose,နှာခေါင်းမှ အငွေ့ထွက်နေသော မျက်နှာ,"နှာခေါင်းမှ အငွေ့ထွက်နေသော မျက်နှာ, နှာမှုတ်နေသည့် မျက်နှာ, နိုင်ပြီ, မျက်နှာ, အောင်ပြီ"
