Hex,Emoji,English Name,Extra keywords
1FAE0,🫠,melting face,"အရည်ပျော်နေသောမျက်နှာ, မျက်နှာပူတယ်, မျက်နှာငယ်တယ်, ရှက်ကိုးရှက်ကန်းဖြစ်, အိုက်စပ်စပ်နိုင်, ပူအိုက်လွန်းသော, စိတ်ပျက်အားငယ်, ရှက်လွန်း၍ပုန်းချင်စိတ်ပေါက်, သည်းမခံနိုင်တော့ခြင်း, အရည်ပျော်လောက်အောင်ချစ်ဖို့ကောင်းသော"
1F609,😉,winking face,"မျက်စိတစ်ဖက်မှိတ်ပြ, မျက်စိမှိတ်ပြ, စနောက်, အရွှန်းဖောက်, လျှို့ဝှက်ချက်ရှိ, မျက်တောင်ခတ်, မျက်စိမှိတ်, သဘောကျ, ကျီစယ်, ရယ်စရာ"
1F60A,😊,smiling face with smiling eyes,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ကြည်နူး, ဝမ်းသာ, ရယ်မောခြင်း, ပျော်ရွှင်ခြင်း, မျက်နှာကြည်လင်"
1F607,😇,smiling face with halo,"ကောင်းကင်တမန်, နတ်သားလေး, ရိုးသားသူ, အပြစ်ကင်းစင်သူ, လိမ္မာသူ, ကောင်းချီးပေးခြင်း, ဆုတောင်းခြင်း, ကြင်နာသူ, ကူညီတတ်သူ, ဟန်ဆောင်ကောင်းသူ"
1F970,🥰,smiling face with hearts,"မျက်နှာပွင့်လန်း, အသည်းယားစရာ, ချစ်စရာကောင်း, ရင်ခုန်, သဘောကျ, ကြည်နူးခြင်း, မြတ်နိုးခြင်း, သာယာခြင်း, စွဲလမ်းခြင်း, ချစ်ခင်ခြင်း"
1F60D,😍,smiling face with heart-eyes,"ချစ်စရာကောင်းသော, အသည်းပုံမျက်လုံး, ချစ်မေတ္တာ, စွဲလန်း, နှစ်သက်သဘောကျ, နှလုံးပုံစံ မျက်လုံးများနှင့် အပြုံးမျက်နှာ, အချစ်, အပြုံး, မျက်စိ, မျက်နှာ"
1F929,🤩,star-struck,"မျက်လုံးထဲမှာကြယ်ပွင့်, အံ့ဩမှင်သက်, အားကျ, အလွန်အမင်းသဘောကျ, စိတ်လှုပ်ရှား, ကြည်ညို, အံ့ဩတကြီးဖြစ်, စွဲလမ်း, မော်ကြည့်, ကြွေဆင်း"
1F618,😘,face blowing a kiss,"နမ်းတယ်, အနမ်း, ချစ်တယ်, အနမ်းပေးတာ, မွမွ, မြတ်နိုး, အချစ်, အနမ်းခြွေသည်, နှုတ်ခမ်းချင်းတိုက်သည်, သဘောကျသည်"
1F617,😗,kissing face,"နမ်း, အနမ်းပေး, ချစ်ခင်, နှုတ်ခမ်းစူ, အသံပေးခေါ်, အနမ်းခြွေ, နှုတ်ဆက်, မျက်နှာပေး, ချစ်စရာ, အသည်းယားမှု့"
263A-FE0F,☺️,smiling face,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ရွှင်လန်း, ပျော်ရွှင်သောမျက်နှာ, သဘောကျ, အားရပါးရ, ပြုံးရယ်နေသည်"
1F61A,😚,kissing face with closed eyes,"မျက်လုံးမှိတ်ပြီးနမ်းနေသောမျက်နှာ, အသည်းယားစရာ, ချစ်စရာ, အနမ်းပေး, အနမ်းခြွေ, မြတ်နိုး, အချစ်ပို, နွေးထွေး, ကြင်နာ, မေတ္တာရှိသော"
1F619,😙,kissing face with smiling eyes,"နှုတ်ခမ်းစူ, နမ်းရှုံ့, အချိုပေး, မျက်နှာချိုသွေး, ချစ်စဖွယ်ကောင်း, ကြည်နူး, ဝမ်းသာ, ရယ်မောခြင်း, ပျော်ရွှင်ခြင်း, မျက်နှာကြည်လင်"
1F972,🥲,smiling face with tear,"မျက်ရည်နှင့်အပြုံး, ဝမ်းသာမျက်ရည်, ကြိတ်မှိတ်ခံစား, ဟန်ဆောင်ပြုံး, နာကျင်မှုကိုအံတု, ဝမ်းနည်းပက်လက်, စိတ်မကောင်းဖြစ်ရခြင်း, ဒုက္ခကြားကအပြုံး, ကြေကွဲဝမ်းနည်း, မျက်ရည်ဝိုင်းလျက်ပြုံးသည်"
1F60B,😋,face savoring food,"စားကောင်းတယ်, အရသာရှိတယ်, ရှာလပတ်ရည်, သွားရည်ကျတယ်, အီစိမ့်နေတာပဲ, မုန့်ဟင်းခါး, လက်ဖက်သုပ်, ရှမ်းခေါက်ဆွဲ, ငါးပိ, အုန်းနို့ခေါက်ဆွဲ"
1F61B,😛,face with tongue,"လျှာထုတ်ပြ, ပြောင်ချော်ချော်လုပ်, နောက်ပြောင်, စနောက်, ဟာသလုပ်, ပျော်ရွှင်ခြင်း, ကြည်နူး, ချစ်စဖွယ်, ရယ်မော, သဘောကျတာ"
1F61C,😜,winking face with tongue,"နောက်ပြောင်, စနောက်, မျက်စိမှိတ်ပြ, လျှာထုတ်ပြ, ပျော်ရွှင်, ကျီစယ်, ပြောင်ချော်ချော်, ဟာသ, ရွှေပြောင်း, ရယ်ရွှင်သော"
1F92A,🤪,zany face,"ကြောင်တောင်တောင်, မျက်နှာပြောင်, အရူး, ဟာသ, silly, ဇယားရှုပ်, အရူးလုပ်, ပေါကြောင်ကြောင်, မျက်နှာပြောင်ခြင်း, ရယ်စရာကောင်းသော, ကြောင်တောင်တောင်နိုင်သော, နောက်ပြောင်သော, ပေါတောတော"
1F61D,😝,squinting face with tongue,"လျှာထုတ်ပြ, ပြောင်ချော်ချော်နိုင်, နောက်ပြောင်, ရယ်စရာကောင်း, ပျော်ရွှင်, စနောက်ခြင်း, ရယ်မောခြင်း, ဟာသ, အူမြူးခြင်း, မြူးတူးခြင်း"
1F911,🤑,money-mouth face,"ပိုက်ဆံမက်, ငွေဂုဏ်မောက်, ကြွယ်ဝ, ချမ်းသာ, လောဘကြီး, စီးပွားတက်, ငွေဝင်, အောင်မြင်မှု, အခွင့်အလမ်း, လာဘ်ရွှင်"
1F917,🤗,smiling face with open hands,"ဖက်လှဲတကင်းရှိ, နွေးထွေးပျူငှာ, ကြိုဆို, ကျေးဇူးတင်, ဝမ်းသာအားရဖြစ်, ပွေ့ဖက်, ချစ်ခင်, ဖော်ရွေ, ရင်းနှီး, ကူညီချင်စိတ်ရှိသော"
1F92D,🤭,face with hand over mouth,"ပါးစပ်ပိတ်ရယ်, ရှက်ပြုံး, ခိုးရယ်, ရယ်ကျဲကျဲလုပ်, အူတူတူအတတဖြစ်, မျက်နှာဖုံးထားခြင်း, တိုးတိုးလေးရယ်ခြင်း, ရှက်ကိုးရှက်ကန်းဖြစ်ခြင်း, အူကြောင်ကြောင်ဖြစ်ခြင်း, ပါးစပ်ပိတ်ပြုံးခြင်း"
1FAE2,🫢,face with open eyes and hand over mouth,"အံ့သြ, အံ့သြမှင်သက်, ထိတ်လန့်, ပါးစပ်အုပ်, အိုခေါင်း, ကြောက်လန့်, အံ့အားသင့်, ပါးစပ်ပိတ်, ရုတ်တရက်, ထိတ်လန့်တုန်လှုပ်"
1FAE3,🫣,face with peeking eye,"မျက်နှာပူတယ်, ရှက်ကိုးရှက်ကန်းဖြစ်တယ်, ချောင်းကြည့်တယ်, စပ်စုတယ်, ရင်ခုန်တုန်လှုပ်တယ်, ကြောက်လန့်တယ်, တုန်လှုပ်တယ်, အကဲခတ်တယ်, စိုးရိမ်တယ်, လန့်ဖျတ်တယ်"
1F92B,🤫,shushing face,"တိတ်တိတ်နေပါ, အသံမထွက်နဲ့, ရှူးတိုးတိုး, လျှို့ဝှက်ချက်, မပြောနဲ့ဦး, တိုးတိုးနေပါ, အသံထိန်းပါ, ပါးစပ်ပိတ်ထားပါ, နှုတ်ပိတ်ပါ, ငြိမ်ငြိမ်နေပါ"
1F914,🤔,thinking face,"စဉ်းစားနေသည်, တွေးတော, အကြံထုတ်, စဉ်းစားခန်းဖွင့်, ချင့်ချိန်, တွေးတောနေသည်, စဉ်းစားချင့်ချိန်, အကြံထုတ်နေသည်, အလေးအနက်ထား, စိတ်ကူးနေသည်"
1FAE1,🫡,saluting face,"အလေးပြု, စစ်သည်တော်နှုတ်ဆက်, လေးစားမှုကိုပြသ, အမိန့်နာခံ, ဟုတ်ကဲ့ပါခင်ဗျာ, လေးစားပါတယ်, မင်္ဂလာပါ, နာခံလျက်, ဂါရဝပြုခြင်း, ဂုဏ်ပြုသည်"
1F910,🤐,zipper-mouth face,"လျှို့ဝှက်ချက်စောင့်ထိန်း, နှုတ်ပိတ်နေ, ပါးစပ်ပိတ်ထား, ဘာမှမပြော, လျှို့ဝှက်ထားပါ, တိတ်ဆိတ်ခြင်း, နှုတ်ဆိတ်နေခြင်း, လျှို့ဝှက်ချက်, စကားမပြောခြင်း, အသံတိတ်နေခြင်း"
1F928,🤨,face with raised eyebrow,"သံသယဖြစ်, မယုံကြည်, ဟုတ်လို့လား, တကယ်လား, ဘယ်လိုပြောလဲ, မသင်္ကာဖြစ်, စဉ်းစားနေတယ်, နားမလည်ဘူး, မဟုတ်တန်ရာ, အံ့သြတယ်"
1F610,😐,neutral face,"သာမန်မျက်နှာ, ပုံမှန်ပဲ, အေးဆေးပဲ, ဘာမှမဖြစ်သလိုပဲ, ပြုပြင်ပြောင်းလဲမှုမရှိသောမျက်နှာ, တုံ့ပြန်မှုမရှိသောမျက်နှာ, ခံစားချက်မရှိသောမျက်နှာ, ပုံသေမျက်နှာထား, မထူးခြားနားသောမျက်နှာ, တည်ငြိမ်သောမျက်နှာထား"
1F611,😑,expressionless face,"ဘာမှမထူးခြားသောမျက်နှာ, အမူအရာကင်းမဲ့သောမျက်နှာ, ခံစားချက်မရှိသောမျက်နှာ, စိတ်ပျက်စရာ, ငြီးငွေ့စရာ, မျက်နှာသေ, အေးစက်စက်မျက်နှာ, တည်ငြိမ်သောမျက်နှာ, ဂရုမစိုက်သောမျက်နှာ, အာရုံမရှိသောမျက်နှာ"
1F636,😶,face without mouth,"ပြောစရာစကားမရှိ, ဆွံ့အသွား, နှုတ်ဆိတ်နေ, ဘာပြောရမှန်းမသိ, တစ်ကိုယ်တည်းဖြစ်, အထီးကျန်ခြင်း, စိတ်ပျက်အားငယ်ခြင်း, အရှက်ရခြင်း, စကားမပြောနိုင်ခြင်း, နှုတ်ဆိတ်နေခြင်း"
1FAE5,🫥,dotted line face,"မျက်ကွယ်ပြုခံရ, ပစ်ပယ်ခံရ, အရေးမပါသလိုခံစားရ, ဖျောက်ဖျက်ပစ်ချင်, အထီးကျန်, မျက်ကွယ်ပြုထားခြင်း, ပျောက်ကွယ်သွားခြင်း, မသေချာခြင်း, စိတ်ဓာတ်ကျခြင်း, ရှက်ရွံ့ခြင်း"
1F636-200D-1F32B-FE0F,😶‍🌫️,face in clouds,"တိမ်ဖုံးနေသောမျက်နှာ, မြူပိတ်နေ, မူးဝေ, ဆေးလိပ်သောက်, စိတ်ရှုပ်ထွေး, ရှက်ရွံ့ခြင်း, အလုပ်ရှုပ်နေသော, မသဲကွဲသော, အတွေးလွန်နေခြင်း, ငေးငိုင်နေခြင်း"
1F60F,😏,smirking face,"အပြုံးခိုး, မျက်နှာချိုသွေး, မထီမဲ့မြင်ပြုံး, လူလည်ပြုံး, ပြုံးစိစိလုပ်, မာယာပါသောပြုံး, လှောင်ပြုံး, မျက်စိမှိတ်ပြုံး, ကောက်ကျစ်သောပြုံး, ဟန်ဆောင်ပြုံး"
1F612,😒,unamused face,"မဲ့ကဲ့ရဲ့, မဲ့ရွဲ့, မျက်မှောင်ကြုတ်, မကျေနပ်, အလိုမကျ, စိတ်ပျက်, စိတ်ကုန်, ငြီးငွေ့, မနှစ်သက်, မျက်နှာလွှဲ"
1F644,🙄,face with rolling eyes,"မျက်လုံးအပေါ်လန်, အမြင်ကတ်, စိတ်ပျက်, ငြီးငွေ့, လှောင်ပြောင်, မယုံကြည်နိုင်ခြင်း, စိတ်တိုခြင်း, စိတ်မရှည်ခြင်း, အထင်သေးခြင်း, သရော်ခြင်း"
1F62C,😬,grimacing face,"မျက်နှာပူတယ်, မျက်နှာငယ်တယ်, အားငယ်တယ်, တောဆန်, ပေါတောတော, မျက်နှာပေးတယ်, မျက်နှာသာပေးတယ်, မျက်နှာရတယ်, မျက်နှာပျက်တယ်, မျက်နှာပြောင်တိုက်တယ်"
1F62E-200D-1F4A8,😮‍💨,face exhaling,"သက်ပြင်းချ, စိတ်ပျက်, ပင်ပန်းနွမ်းနယ်, စိတ်သက်သာရာရ, အမောဖြေ, မောတယ်, စိတ်မောတယ်, မောပန်းခြင်း, သက်ပြင်းချခြင်း, အသက်ရှူထုတ်ခြင်း"
1F925,🤥,lying face,"လိမ်ညာနေသောမျက်နှာ, နှာခေါင်းရှည်, လိမ်ပြော, မမှန်မကန်ပြော, ပိနိုခီယို, ညာတာ, လိမ်ညာခြင်း, မမှန်မကန်, လှည့်ဖြားခြင်း, သစ္စာမရှိသော"
1FAE8,🫨,shaking face,"တုန်ခါနေသောမျက်နှာ, တုန်လှုပ်, ထိတ်လန့်, ကြောက်လန့်, ရှော့ခ်ရ, မူးဝေခြင်း, လှုပ်ခါနေသော, အံ့အားသင့်, စိုးရိမ်, တုန်လှုပ်ချောက်ချားခြင်း"
1F642-200D-2194-FE0F,🙂‍↔️,head shaking horizontally,"ခေါင်းခါ, မဟုတ်ဘူး, ငြင်းပယ်, လက်မခံ, မလုပ်ဘူး, သဘောမတူ, ကန့်ကွက်, ငြင်းဆို, မဟုတ်ပါ, ပယ်ချ"
1F642-200D-2195-FE0F,🙂‍↕️,head shaking vertically,"ခေါင်းညိတ်, ဟုတ်ကဲ့, အင်း, သဘောတူသည်, လက်ခံသည်, သဘောတူညီချက်, ဝန်ခံသည်, မှန်ကန်သည်, ဟုတ်မှန်သည်, သဘောကျသည်"
1F60C,😌,relieved face,"စိတ်သက်သာရာရ, စိတ်အေးသွား, အပူအပင်ကင်း, အေးအေးလူလူ, ကျေနပ်, ငြိမ်းချမ်း, အပန်းဖြေ, စိတ်လက်ပေါ့ပါး, သက်သောင့်သက်သာ, ပျော်ရွှင်ဝမ်းမြောက်"
1F614,😔,pensive face,"ဝမ်းနည်း, စိတ်မကောင်းဖြစ်, အားငယ်, မျက်နှာငယ်, စိတ်ညစ်, မျက်နှာပူ, မျက်နှာပျက်, ဝမ်းနည်းပူဆွေး, စိတ်ပျက်, အားကိုးရာမဲ့"
1F62A,😪,sleepy face,"အိပ်ချင်တာ, ငိုက်တာ, ပင်ပန်းတာ, မျက်စိစုံမှိတ်တာ, သမ်းဝေတာ, အိပ်စက်ခြင်း, အိပ်မက်မက်တာ, အနားယူတာ, ကျိန်းစက်တာ, အိပ်ရာဝင်တာ"
1F924,🤤,drooling face,"သွားရည်ကျ, ငမ်းသည်, သွားရည်တများများ, အရသာရှိသော, စားချင်စဖွယ်, စားချင်စဖွယ်ကောင်းသော, လျှာရည်ယိုစရာ, အလွန်အရသာရှိသော, မွှေးကြိုင်သော, သွားရည်ကျစရာ"
1F634,😴,sleeping face,"အိပ်ပျော်နေ, အိပ်ငိုက်, အိပ်ချင်, ပျင်းရိ, ငြီးငွေ့, အိပ်မောကျနေ, အိပ်မက်မက်နေ, မှေးစက်နေ, နားနေသည်, အနားယူနေသည်"
1FAE9,🫩,face with bags under eyes,"မျက်ကွင်းညို, ပင်ပန်းနွမ်းနယ်, အိပ်ရေးပျက်, စိတ်ကုန်, မျက်လုံးအောက်ဖောင်း, နုန်းချိ, အားအင်ကုန်ခမ်း, နုံးနယ်, စိတ်ပျက်, ငြီးငွေ့သေော သွေးပြင်သဏ္ဌာန်"
1F637,😷,face with medical mask,"နှာခေါင်းစည်းတပ်ထားသောမျက်နှာ, နှာခေါင်းစည်း, ပါးစပ်စည်း, Mask တပ်ထား, နေမကောင်းဖြစ်, မျက်နှာဖုံး, မျက်နှာစည်း, နှာခေါင်းစည်းတပ်ဆင်ခြင်း, ကာကွယ်ရန်, နှာခေါင်းအုပ်ခြင်း"
1F912,🤒,face with thermometer,"ဖျားနေတာ, ကိုယ်ပူနေတာ, အဖျားတက်နေတာ, နေမကောင်းဘူး, သာမိုမီတာနဲ့ အဖျားတိုင်းနေတာ, အဖျားရောဂါ, ဖျားနာခြင်း, ကိုယ်ပူတက်တာ, နေမကောင်းဖြစ်တာ, အဖျားတက်နေသည်"
1F915,🤕,face with head-bandage,"ခေါင်းစည်းထားသောမျက်နှာ, ဒဏ်ရာရ, နာကျင်, ခေါင်းပေါက်, ဆေးထည့်ထား, နေမကောင်း, ဒဏ်ရာရရှိထားသူ, ပတ်တီးစည်းထားသည်, ဆေးကုသမှု, နာမကျန်းဖြစ်ခြင်း"
1F922,🤢,nauseated face,"အော့အန်ချင်, အန်ချင်သလိုဖြစ်, ပျို့အန်, အော့အန်, မအီမသာဖြစ်, ခေါင်းမူး, နှာစေး, နှာပိတ်, သွားကိုက်, ဝမ်းလျှော"
1F92E,🤮,face vomiting,"အန်, အော့အန်, အန်ဖတ်, ရွံစရာကောင်းသော, ရွံရှာဖွယ်, မူးနောက်, ပျို့အန်, အော့ကြောလန်, စက်ဆုပ်, အန်ချင်စတေးဖြစ်နေသော"
1F927,🤧,sneezing face,"နှာချေ, ဖျားနာ, မကျန်းမာ, အအေးမိ, နှာစေး, နှာခေါင်း, နှာရည်ယို, ချောင်းဆိုး, ဖျား, ဆေးဝါး"
1F975,🥵,hot face,"အိုက်စပ်, ချွေးပြန်, အပူရှိန်ပြင်း, ပူလောင်, စပ်ရှုံ့စပ်ရှုံ့ဖြစ်, အလွန်ပူသည်, ချွေးထွက်သည်, နေပူရှိန်, ပြင်းထန်သောပြူ, အပူဒဏ်"
1F976,🥶,cold face,"အေးစက်နေသောမျက်နှာ, အရမ်းအေးသည်, ချမ်းတုန်, နှင်းခဲ, ခဲနေသောမျက်နှာ, အအေးမိခြင်း, တုန်ရီနေသောမျက်နှာ, ရေခဲနေသည်, အေးစိမ့်သော, ချမ်းအေးသောည"
1F974,🥴,woozy face,"မူးဝေ, ခေါင်းမူး, အရက်မူး, မူးနောက်နောက်ဖြစ်, မျက်စိလည်, မျက်နှာပျက်တယ်, စိတ်ရှုပ်ထွေးသည်, မောပန်းသည်, အော့အန်ချင်သည်, မူးဝေနောက်ကျိသည်"
1F635,😵,face with crossed-out eyes,"မူးဝေ, ခေါင်းမူး, မျက်စိလည်, အံ့အားသင့်, ထိတ်လန့်, သေဆုံးခြင်း, မူးယစ်ခြင်း, ပျို့အန်ခြင်း, ထိတ်လန့်တုန်လှုပ်, မိန်းမောခြင်း"
1F635-200D-1F4AB,😵‍💫,face with spiral eyes,"မျက်စိလည်, ခေါင်းမူး, မူးဝေ, တွေဝေ, စိတ်ရှုပ်ထွေး, တွေဝေခြင်း, မိန်းမောခြင်း, အရက်မူးခြင်း, မျက်စိလည်လမ်းမှား, စိတ်ရှုပ်ထွေးခြင်း"
1F92F,🤯,exploding head,"အံ့ဩမှင်သက်, အံ့အားသင့်, အံ့သြလွန်းလို့ ခေါင်းပေါက်ထွက်မတတ်ဖြစ်, ခေါင်းထဲဗုံးပေါက်သလိုခံစားရ, နားမလည်နိုင်လောက်အောင်ဖြစ်, အံ့ဩတုန်လှုပ်, မှင်သက်မိ, အံ့ဩဘနန်း, မယုံနိုင်စရာ, ထိတ်လန့်တုန်လှုပ်"
1F920,🤠,cowboy hat face,"က cowboy ဦးထုပ်ဆောင်းထားသောမျက်နှာ, နွားကျောင်းသား, ကောင်ဘွိုင်, ရဲရင့်, လွတ်လပ်, မြင်းစီးသူ, သေနတ်ကိုင်, နယ်ခြားဒေသ, လာဆို (ကြိုးကွင်း), ဖိနပ်ကောက်တပ်ဖိနပ်"
1F973,🥳,partying face,"ပျော်ပွဲရွှင်ပွဲ, အောင်ပွဲခံ, မွေးနေ့ပါတီ, ပျော်ရွှင်မြူးထူး, လမ်း (Lan), ရွှင်လန်း, ပျော်ရွှင်သောမျက်နှာ, သဘောကျ, အားရပါးရ, ပြုံးရယ်နေသည်"
1F978,🥸,disguised face,"မျက်နှာဖုံးစွပ်ထားသူ, ရုပ်ဖျက်ထား, လျှို့ဝှက်သည်, မသိမသာနေ, သူလျှို, မျက်နှာဖုံး, ဝှက်ထားသောမျက်နှာ, ဟန်ဆောင်ခြင်း, သူတပါးယောင်ဆောင်သူ, လှည့်စားခြင်း"
1F60E,😎,smiling face with sunglasses,"နေကာမျက်မှန်နှင့်ပြုံးနေသောမျက်နှာ, အမိုက်စား, လန်းတယ်, ကြွေတယ်, စတိုင်လ်ကျတယ်, မျက်မှန်, အမိုက်စားလေး, စတိုင်လ်, ခန့်ညားသော, အေးဆေးပဲ"
1F913,🤓,nerd face,"စာဂျပိုး, ပညာတတ်ကြီး, လူတော်, စာကြိုးစားသူ, နည်းပညာရူး, မျက်မှန်နှင့်မျက်နှာ, ဉာဏ်ကြီးရှင်, ထူးချွန်သူ, သင်္ချာကျွမ်းကျင်သူ, သိပ္ပံပညာရှင်"
1F9D0,🧐,face with monocle,"စဉ်းစားနေသည်, အကဲခတ်နေသည်, သံသယရှိသည်, စုံစမ်းနေသည်, ပညာရှိဟန်ဆောင်သည်, စေ့စေ့ကြည့်သည်, အကဲခတ်သည်, စစ်ဆေးသည်, ထူးဆန်းသည်, မသင်္ကာဖြစ်သည်"
1F615,😕,confused face,"ဝေခွဲမရဖြစ်, ဇဝေဇဝါဖြစ်, စိတ်ရှုပ်ထွေး, အူကြောင်ကြောင်ဖြစ်, နားမလည်နိုင်, တွေဝေနေသည်, မျက်စိလည်နေသည်, ခေါင်းရှုပ်နေသည်, ဘာလုပ်ရမှန်းမသိဖြစ်နေသည်, ဝေခွဲရခက်နေသည်"
1FAE4,🫤,face with diagonal mouth,"ဇဝေဇဝါဖြစ်, ဝေခွဲမရဖြစ်, စိတ်ရှုပ်ထွေး, သံသယရှိ, မတင်မကျဖြစ်, စိတ်ပျက်လက်ပျက်ဖြစ်, စိတ်မကျေမနပ်ဖြစ်, အူကြောင်ကြောင်နိုင်သော, ဝေခွဲမရသော, သံသယဖြစ်ဖွယ်အတိရှိသော"
1F61F,😟,worried face,"စိုးရိမ်, စိတ်ပူ, မျက်နှာငယ်လေးနှင့်, စိတ်မကောင်းဖြစ်, ကြောက်ရွံ့, စိတ်ပူပန်, စိုးရိမ်တကြီး, ထိတ်လန့်, စိတ်အနှောင့်အယှက်ဖြစ်, ရင်တုန်စရာ"
1F641,🙁,slightly frowning face,"မျက်နှာမကောင်းဘူး, စိတ်ညစ်တယ်, စိတ်ပျက်တယ်, ဝမ်းနည်းတယ်, အားငယ်တယ်, စိတ်မကောင်းဖြစ်, စိတ်မချမ်းသာဘူး, မျက်နှာပျက်တယ်, စိတ်ညှိုးနွမ်း, ငိုချင်တယ်"
2639-FE0F,☹️,frowning face,"မျက်နှာပုပ်တယ်, မျက်နှာဆူတယ်, စိတ်ကောက်တယ်, မကျေနပ်ဘူး, စိတ်ပျက်တယ်, မှုန်ကုပ်ကုပ်, မျက်နှာပျက်တယ်, ဝမ်းနည်းတယ်, စိတ်ညစ်တယ်, မျက်နှာမကောင်းဘူး"
1F62E,😮,face with open mouth,"ပါးစပ်ဟနေသောမျက်နှာ, အံ့သြ, အံ့အားသင့်, ဟာကနဲဖြစ်သွား, မှင်တက်မိ, အံ့သြတုန်လှုပ်, အံ့အားသင့်စရာ, အံ့သြမှင်တက်, မယုံနိုင်စရာ, အရမ်းအံ့သြတယ်"
1F62F,😯,hushed face,"အံ့အားသင့်, အံ့ဩ, ပါးစပ်အဟောင်းသားဖြစ်, မှင်သက်မိ, အံ့ဩတုန်လှုပ်, မျက်နှာပျက်တယ်, မျက်နှာပူတယ်, မျက်နှာငယ်တယ်, မျက်နှာပြောင်တိုက်တယ်, အားငယ်တယ်"
1F632,😲,astonished face,"အံ့အားသင့်, အံ့သြမှင်သက်, ပါးစပ်အဟောင်းသားဖြစ်, အံ့သြတုန်လှုပ်, မျက်လုံးပြူးသွား, အံ့ဩစရာ, အိုး, ဟင်, မယုံနိုင်ဘူး, အံ့ဩစရာကြီး"
1F633,😳,flushed face,"မျက်နှာပူတယ်, ရှက်ကိုးရှက်ကန်းဖြစ်သည်, အနေရခက်သည်, မျက်နှာနီမြန်းသည်, အားနာသည်, မျက်နှာပူစရာ, ရှက်သွေးဖြာသည်, မျက်နှာပူနွေးသည်, ရှက်ရွံ့သည်, အမ်းအမ်းအိအိဖြစ်သည်"
